tensor(2.5942, grad_fn=<HuberLossBackward0>)
tensor(14.9963, grad_fn=<HuberLossBackward0>)
tensor(17.5088, grad_fn=<HuberLossBackward0>)
tensor(10.2482, grad_fn=<HuberLossBackward0>)
tensor(10.2702, grad_fn=<HuberLossBackward0>)
tensor(12.0585, grad_fn=<HuberLossBackward0>)
tensor(6.2391, grad_fn=<HuberLossBackward0>)
tensor(10.4576, grad_fn=<HuberLossBackward0>)
tensor(11.8622, grad_fn=<HuberLossBackward0>)
tensor(13.8867, grad_fn=<HuberLossBackward0>)
tensor(19.5783, grad_fn=<HuberLossBackward0>)
tensor(14.5012, grad_fn=<HuberLossBackward0>)
tensor(21.3215, grad_fn=<HuberLossBackward0>)
tensor(17.2167, grad_fn=<HuberLossBackward0>)
tensor(6.4512, grad_fn=<HuberLossBackward0>)
tensor(5.6343, grad_fn=<HuberLossBackward0>)
tensor(4.7251, grad_fn=<HuberLossBackward0>)
tensor(14.8998, grad_fn=<HuberLossBackward0>)
tensor(19.8839, grad_fn=<HuberLossBackward0>)
tensor(5.4456, grad_fn=<HuberLossBackward0>)
tensor(6.3032, grad_fn=<HuberLossBackward0>)
tensor(5.4487, grad_fn=<HuberLossBackward0>)
tensor(5.7910, grad_fn=<HuberLossBackward0>)
tensor(36.4378, grad_fn=<HuberLossBackward0>)
tensor(36.6225, grad_fn=<HuberLossBackward0>)
tensor(4.6178, grad_fn=<HuberLossBackward0>)
tensor(6.4914, grad_fn=<HuberLossBackward0>)
tensor(39.3816, grad_fn=<HuberLossBackward0>)
tensor(4.4971, grad_fn=<HuberLossBackward0>)
tensor(27.2964, grad_fn=<HuberLossBackward0>)
tensor(5.6669, grad_fn=<HuberLossBackward0>)
tensor(23.4077, grad_fn=<HuberLossBackward0>)
tensor(21.1334, grad_fn=<HuberLossBackward0>)
tensor(3.4355, grad_fn=<HuberLossBackward0>)
tensor(3.0551, grad_fn=<HuberLossBackward0>)
tensor(42.5640, grad_fn=<HuberLossBackward0>)
tensor(26.0996, grad_fn=<HuberLossBackward0>)
tensor(5.9632, grad_fn=<HuberLossBackward0>)
tensor(20.8376, grad_fn=<HuberLossBackward0>)
tensor(20.8284, grad_fn=<HuberLossBackward0>)
tensor(21.4588, grad_fn=<HuberLossBackward0>)
tensor(4.5986, grad_fn=<HuberLossBackward0>)
tensor(19.0009, grad_fn=<HuberLossBackward0>)
tensor(4.4265, grad_fn=<HuberLossBackward0>)
tensor(19.9946, grad_fn=<HuberLossBackward0>)
tensor(17.9965, grad_fn=<HuberLossBackward0>)
tensor(37.7964, grad_fn=<HuberLossBackward0>)
tensor(18.7701, grad_fn=<HuberLossBackward0>)
tensor(17.7454, grad_fn=<HuberLossBackward0>)
tensor(4.2014, grad_fn=<HuberLossBackward0>)
tensor(4.8984, grad_fn=<HuberLossBackward0>)
tensor(37.2030, grad_fn=<HuberLossBackward0>)
tensor(50.7920, grad_fn=<HuberLossBackward0>)
tensor(18.8930, grad_fn=<HuberLossBackward0>)
tensor(31.9558, grad_fn=<HuberLossBackward0>)
tensor(21.8315, grad_fn=<HuberLossBackward0>)
tensor(4.8848, grad_fn=<HuberLossBackward0>)
tensor(16.2514, grad_fn=<HuberLossBackward0>)
tensor(34.4181, grad_fn=<HuberLossBackward0>)
tensor(33.8047, grad_fn=<HuberLossBackward0>)
tensor(6.9987, grad_fn=<HuberLossBackward0>)
tensor(19.7366, grad_fn=<HuberLossBackward0>)
