tensor(6.3062, grad_fn=<HuberLossBackward0>)
tensor(20.0960, grad_fn=<HuberLossBackward0>)
tensor(7.8135, grad_fn=<HuberLossBackward0>)
tensor(37.6746, grad_fn=<HuberLossBackward0>)
tensor(4.6550, grad_fn=<HuberLossBackward0>)
tensor(5.1756, grad_fn=<HuberLossBackward0>)
tensor(34.5855, grad_fn=<HuberLossBackward0>)
tensor(18.0928, grad_fn=<HuberLossBackward0>)
tensor(14.5972, grad_fn=<HuberLossBackward0>)
tensor(30.7402, grad_fn=<HuberLossBackward0>)
tensor(30.3868, grad_fn=<HuberLossBackward0>)
tensor(5.1881, grad_fn=<HuberLossBackward0>)
tensor(17.2366, grad_fn=<HuberLossBackward0>)
tensor(48.5517, grad_fn=<HuberLossBackward0>)
tensor(26.6910, grad_fn=<HuberLossBackward0>)
tensor(20.3317, grad_fn=<HuberLossBackward0>)
tensor(25.8582, grad_fn=<HuberLossBackward0>)
tensor(6.4470, grad_fn=<HuberLossBackward0>)
tensor(5.6739, grad_fn=<HuberLossBackward0>)
tensor(22.8287, grad_fn=<HuberLossBackward0>)
tensor(18.6445, grad_fn=<HuberLossBackward0>)
tensor(8.5676, grad_fn=<HuberLossBackward0>)
tensor(6.2741, grad_fn=<HuberLossBackward0>)
tensor(37.0338, grad_fn=<HuberLossBackward0>)
tensor(8.2146, grad_fn=<HuberLossBackward0>)
tensor(37.8954, grad_fn=<HuberLossBackward0>)
tensor(31.4501, grad_fn=<HuberLossBackward0>)
tensor(17.2780, grad_fn=<HuberLossBackward0>)
tensor(7.7520, grad_fn=<HuberLossBackward0>)
tensor(27.2212, grad_fn=<HuberLossBackward0>)
tensor(16.7854, grad_fn=<HuberLossBackward0>)
tensor(18.5628, grad_fn=<HuberLossBackward0>)
tensor(54.3750, grad_fn=<HuberLossBackward0>)
tensor(3.7810, grad_fn=<HuberLossBackward0>)
tensor(29.8847, grad_fn=<HuberLossBackward0>)
tensor(5.2962, grad_fn=<HuberLossBackward0>)
tensor(6.7836, grad_fn=<HuberLossBackward0>)
tensor(19.3929, grad_fn=<HuberLossBackward0>)
tensor(14.9316, grad_fn=<HuberLossBackward0>)
tensor(5.9198, grad_fn=<HuberLossBackward0>)
tensor(16.1849, grad_fn=<HuberLossBackward0>)
tensor(15.4102, grad_fn=<HuberLossBackward0>)
tensor(14.0388, grad_fn=<HuberLossBackward0>)
tensor(3.4537, grad_fn=<HuberLossBackward0>)
tensor(24.2629, grad_fn=<HuberLossBackward0>)
